"Alachua County, Florida (FL001)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,FL001oil ID,,,,,
75,Wauchula fine sand ,"14,352.70",1.80%,FL12764001,,,,,
31,Malabar fine sand ,"13,097.30",1.60%,FL12764023,,,,,
45,Pineda fine sand ,"12,959.40",1.60%,FL12764002,,,,,
20,EauGallie fine sand ,"12,326.00",1.50%,FL12764024,,,,,
28,Hydraquents ,"10,860.40",1.30%,FL12764031,,,,,
37,"Orsino fine sand, 0 to 5 percent slopes ","10,474.60",1.30%,FL12764013,,,,,
13,Cassia fine sand ,"7,723.20",1.00%,FL12764003,,,,,
23,Farmton fine sand ,"8,194.50",1.00%,FL12764026,,,,,
10,Bluff sandy clay loam ,"7,519.60",0.90%,FL12764025,,,,,
19,"Deland fine sand, 0 to 5 percent slopes ","7,001.50",0.90%,FL12764028,,,,,
67,Turnbull muck ,"6,833.40",0.80%,FL12764030,,,,,
59,Scoggin sand ,"5,988.90",0.70%,FL12764027,,,,,
14,Chobee fine sandy loam ,"5,189.30",0.60%,FL12764022,,,,,
57,Satellite sand ,"3,707.30",0.50%,FL12764009,,,,,
22,"Electra fine sand, 0 to 5 percent slopes ","2,763.00",0.30%,FL12764010,,,,,
11,"Bulow sand, 0 to 5 percent slopes ","1,911.50",0.20%,FL12764017,,,,,
,,,,,,,,,
,,,,,,,,,
"Wakulla County, Florida (FL129)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
26,Tooles fine sands ,"20,067.00",4.50%,FL12965003,,,,,
,Nutall fine sands ,,,FL12965006,,,,,
35,Rutlege sand ,"12,959.30",2.90%,FL12965001,,,,,
10,Chaires fine sand ,"9,398.00",2.10%,FL12965002,,,,,
4,"Alpin sand, 0 to 5 percent slopes ","8,599.50",1.90%,FL12965012,,,,,
7,"Otela fine sand, 0 to 5 percent slopes ","7,590.50",1.70%,FL12965014,,,,,
27,Moriah fine sands ,"7,423.40",1.70%,FL12965004,,,,,
,Pilgrims fine sands ,,,FL12965005,,,,,
3,"Lutterloh sand, 0 to 5 percent slopes ","6,883.50",1.60%,FL12965013,,,,,
21,"Lakeland sand, 0 to 5 percent slopes ","7,071.60",1.60%,FL12965015,,,,,
48,"Otela, limestone substratum- ","7,176.60",1.60%,FL12965011,,,,,
11,"Shadeville fine sand, 0 to 5 percent slopes ","5,863.60",1.30%,FL12965008,,,,,
18,"Hurricane sand, 0 to 5 percent slopes ","3,628.30",0.80%,FL12965016,,,,,
8,"Otela sand, 5 to 8 percent slopes ",369.8,0.10%,FL12965009,,,,,
,,,,,,,,,
,,,,,,,,,
"Walton County, Florida (FL131)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
17,"Lakeland sand, 0 to 5 percent slopes ","142,270.10",19.40%,FL13166002,,,,,
15,Kinston frequently flooded ,"38,990.50",5.30%,FL13166016,,,,,
31,"Troup sand, 0 to 5 percent slopes ","38,701.20",5.30%,FL13166006,,,,,
13,"Fuquay loamy sand, 0 to 5 percent slopes ","28,438.90",3.90%,FL13166200,,,,,
27,Rutlege fine sand ,"22,617.30",3.10%,FL13166028,,,,,
2,"Bonifay loamy sand, 0 to 5 percent slopes ","21,034.30",2.90%,FL13166004,,,,,
38,Bonneau 5 to 12 percent slopes ,"20,214.70",2.80%,FL13166035,,,,,
,"Norfolk, 5 to 12 percent slopes ",,,FL13166036,,,,,
57,"Hurricane sand, 0 to 5 percent slopes ","16,828.20",2.30%,FL13166032,,,,,
12,"Foxworth sand, 0 to 5 percent slopes ","16,338.30",2.20%,FL13166023,,,,,
20,"Leefield loamy sands, 0 to 5 percent slopes ","16,421.50",2.20%,FL13166018,,,,,
,"Stilson loamy sands, 0 to 5 percent slopes ",,,FL13166019,,,,,
10,"Dothan loamy sand, 2 to 5 percent slopes ","14,633.60",2.00%,FL13166029,,,,,
,"Orangeburg loamy sands, 5 to 12 percent slopes ",,,FL13166003,,,,,
21,Leon sand ,"13,132.70",1.80%,FL13166024,,,,,
4,"Chipley sand, 0 to 5 percent slopes ","11,614.30",1.60%,FL13166021,,,,,
25,"Orangeburg sandy loam, 1 to 5 percent slopes ","7,004.50",1.00%,FL13166009,,,,,
1,"Albany loamy sands, 0 to 5 percent slopes ","6,573.10",0.90%,FL13166030,,,,,
,"Pactolus loamy sands, 0 to 5 percent slopes ",,,FL13166020,,,,,
64,Pamlico muck ,"6,921.60",0.90%,FL13166014,,,,,
42,"Blanton sand, 0 to 5 percent slopes ","6,020.30",0.80%,FL13166034,,,,,
69,"Florala loamy fine sand, 2 to 5 percent slopes ","5,145.20",0.70%,FL13166037,,,,,
16,"Kureb sand, 0 to 8 percent slopes ","4,069.90",0.60%,FL13166008,,,,,
65,"Garcon loamy fine sand, occasionally flooded ","3,578.60",0.50%,FL13166038,,,,,
37,"Angie sandy loam, 2 to 5 percent slopes ","1,959.30",0.30%,FL13166022,,,,,
45,"Dirego muck, frequently flooded ","2,328.10",0.30%,FL13166011,,,,,
50,Mandarin sand ,"2,420.90",0.30%,FL13166033,,,,,
63,"Pickney sand, depressional ","2,213.10",0.30%,FL13166027,,,,,
66,"Kenansville loamy fine sand, 0 to 5 percent slopes ","2,403.60",0.30%,FL13166039,,,,,
29,"Tifton fine sandy loam, 2 to 5 percent slopes ","1,328.70",0.20%,FL13166010,,,,,
54,"Newhan sands, rolling ","1,167.50",0.20%,FL13166025,,,,,
62,"Resota sand, 0 to 5 percent slopes ","1,234.70",0.20%,FL13166041,,,,,
52,"Yemassee fine sandy loam, occasionally flooded ",170.7,0.00%,FL13166043,,,,,
,,,,,,,,,
,,,,,,,,,
"Washington County, Florida (FL133)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
63,"Lakeland sand, 0 to 5 percent slopes ",69702,0.177,FL13166002,Walton,,,,
12,"Dothan loamy sand, 2 to 5 percent slopes ",45957.6,0.117,FL13166029,Walton,,,,
106,"Pantego soils, ponded ",37007.6,0.094,FL13166017,Walton,,,,
2,"Rutlege, soils, frequently flooded ",33697.2,0.085,FL13166028,Walton,,,,
,"Pickney soils, frequently flooded ",,,FL00503011,Bay ,,,,
55,"Chipley-complex, 0 to 5 percent slopes ",10517.9,0.027,FL13166021,Walton,,,,
,"Albany- complex, 0 to 5 percent slopes ",,,FL13166030,Walton,,,,
,"Hurricane complex, 0 to 5 percent slopes ",,,FL00503001,Bay ,,,,
128,"Blanton- complex, 0 to 5 percent slopes ",10469.9,0.027,FL00503017,Bay ,,,,
,"Bonneau complex, 0 to 5 percent slopes ",,,FL13166035,Walton,,,,
39,"Bonifay-complex, 0 to 5 percent slopes ",9869.9,0.025,FL13166004,Walton,,,,
,"Fuquay complex, 0 to 5 percent slopes ",,,FL13166200,Walton,,,,
,"Plummer soils, occasionally ponded ",,,FL00503012,Bay,,,,
,"Leefield complex, 0 to 5 percent slopes ",,,FL13166018,Walton,,,,
,"Leon complex, 0 to 5 percent slopes ",,,FL13166024,Walton,,,,
